name,address,lat,lon
Accor Arena,8 Boulevard de Bercy 75012 Paris,48.8385,2.3788
Zénith de Paris,211 Avenue Jean Jaurès 75019 Paris,48.8899,2.3934
L'Olympia,28 Boulevard des Capucines 75009 Paris,48.8712,2.3317
La Cigale,120 Boulevard de Rochechouart 75018 Paris,48.8845,2.3389
Bataclan,50 Boulevard Voltaire 75011 Paris,48.8574,2.3703
Palais Omnisports de Paris-Bercy,8 Boulevard de Bercy 75012 Paris,48.8385,2.3788
Stade de France,93210 Saint-Denis,48.9244,2.3601
Zénith de Nantes,Boulevard du Mercœur 44000 Nantes,47.2234,1.5502
Zénith de Lyon,Chemin du Mas Verchère 69150 Décines-Charpieu,45.7676,5.0213
Zénith de Toulouse,11 Avenue Raymond Badiou 31300 Toulouse,43.5813,1.4088
Arkea Arena,Boulevard des Plages 33700 Mérignac,44.8326,-0.7197
Zénith de Bordeaux,Boulevard des Plages 33700 Mérignac,44.8326,-0.7197
Zénith d'Auvergne,1 Boulevard Côte Blatin 63000 Clermont-Ferrand,45.7647,3.0793
Le Zénith de Strasbourg,1 Allée du Zénith 67100 Schiltigheim,48.6072,7.7364
Zénith de Montpellier,50 Rue de Vendargues 34000 Montpellier,43.6189,3.9256
Halle Tony Garnier,20 Place Antonin Perrin 69007 Lyon,45.7320,4.8218
Le Transbordeur,3 Boulevard Stalingrad 69100 Villeurbanne,45.7571,4.8697
Le Bikini,Route de Lacroix-Falgarde 31676 Ramonville-Saint-Agne,43.5369,1.4676
Le Metronum,2 Rond-Point Madame de Mondonville 31200 Toulouse,43.6356,1.4119
